Module,Function,Haskell,Gallina,Proofs
Core,isCoercionTy_maybe,3,,
Core,isCoercionType,6,,
Core,isCompulsoryUnfolding,3,2,
Core,isConLikeUnfolding,4,2,
Core,isDataFamFlav,3,2,
Core,isDataFamilyAppType,4,,
Core,isDataFamilyTyCon,3,6,
Core,isDataProductTyCon_maybe,10,,
Core,isDataSumTyCon_maybe,12,,
Core,isDataTyCon,10,13,
Core,isDictLikeTy,20,,
Core,isDictTy,2,,
Core,isEmptyDVarEnv,2,2,
Core,isEmptyDVarSet,2,2,
Core,isEmptyRuleInfo,2,2,
Core,isEmptyTCvSubst,2,,
Core,isEmptyVarEnv,1,2,
Core,isEmptyVarSet,1,2,
Core,isEnumerationTyCon,7,11,
Core,isEvaldUnfolding,4,2,
Core,isExpandableUnfolding,3,2,
Core,isExportedId,4,7,
Core,isFamFreeTy,10,,
Core,isFamFreeTyCon,4,7,
Core,isFamInstTyCon,4,6,
Core,isFamilyTyCon,3,6,
Core,isForAllTy,4,,
Core,isFragileUnfolding,4,2,
Core,isFunTy,2,,
Core,isFunTyCon,3,6,
Core,isGadtSyntaxTyCon,3,6,
Core,isGcPtrRep,4,7,
Core,isGenInjAlgRhs,6,9,
Core,isGenerativeTyCon,4,,
Core,isGlobalId,3,6,
Core,isHyperStr,12,2,
Core,isIPClass,2,,
Core,isIPPred_maybe,6,,
Core,isIPTyCon,2,,
Core,isId,3,2,
Core,isImplicitTyCon,11,15,
Core,isInScope,2,,
Core,isInjectiveTyCon,14,,
Core,isInvisibleArgFlag,2,2,
Core,isInvisibleBinder,3,,
Core,isInvisibleTyConBinder,2,2,
Core,isJoinIdDetails_maybe,5,6,
Core,isKindTyCon,2,,
Core,isLazy,3,2,
Core,isLegacyPromotableDataCon,6,,
Core,isLegacyPromotableTyCon,4,,
Core,isLiftedTypeKind,5,,
Core,isLiftedTypeKindTyConName,5,,
Core,isLiftedType_maybe,8,,
Core,isLocalId,3,6,
Core,isLocalRule,2,2,
Core,isLocalVar,2,2,
Core,isMappedByLC,2,,
Core,isMarkedStrict,3,2,
Core,isNamedTyBinder,3,,
Core,isNamedTyConBinder,3,6,
Core,isNeverLevPolyIdInfo,4,6,
Core,isNewTyCon,3,6,
Core,isNoParent,95,2,
Core,isNonCoVarId,3,2,
Core,isNullaryRepDataCon,2,2,
Core,isNullarySrcDataCon,2,2,
Core,isNumLitTy,4,,
Core,isOpenFamilyTyCon,5,10,
Core,isOpenTypeFamilyTyCon,3,6,
Core,isOrphan,3,2,
Core,isPiTy,5,,
Core,isPredTy,25,,
Core,isPrimTyCon,3,6,
Core,isPrimitiveType,5,,
Core,isProductTyCon,9,,
Core,isPromotedDataCon,3,6,
Core,isPromotedDataCon_maybe,3,6,
Core,isPromotedTupleTyCon,5,,
Core,isReflCo,3,,
Core,isReflCoVar_maybe,7,,
Core,isReflCo_maybe,3,,
Core,isReflexiveCo,2,,
Core,isReflexiveCo_maybe,8,,
Core,isRuntimeArg,2,2,
Core,isRuntimeRepKindedTy,2,,
Core,isRuntimeRepTy,4,,
Core,isRuntimeRepVar,147,,
Core,isRuntimeVar,2,2,
Core,isSeqDmd,3,6,
Core,isSrcStrict,3,2,
Core,isSrcUnpacked,3,2,
Core,isStableSource,4,7,
Core,isStableUnfolding,4,2,
Core,isStrLitTy,4,,
Core,isStrictDmd,4,7,
Core,isStrictType,2,,
Core,isTauTy,10,,
Core,isTauTyCon,3,6,
Core,isTcLevPoly,10,13,
Core,isTcTyCon,3,6,
Core,isTcTyVar,3,2,
Core,isTopDmd,3,6,
